:START_ID,:END_ID,relation,:TYPE
10057,20001,类型属于,类型属于
10342,20009,类型属于,类型属于
10213,20013,类型属于,类型属于
10518,20026,类型属于,类型属于
10200,20017,类型属于,类型属于
12965,20006,类型属于,类型属于
11747,20019,类型属于,类型属于
10740,20001,类型属于,类型属于
11404,20036,类型属于,类型属于
10110,20002,类型属于,类型属于
10159,20009,类型属于,类型属于
10124,20015,类型属于,类型属于
12955,20006,类型属于,类型属于
10056,20019,类型属于,类型属于
11470,20022,类型属于,类型属于
11062,20006,类型属于,类型属于
10830,20021,类型属于,类型属于
11677,20003,类型属于,类型属于
12671,20002,类型属于,类型属于
12846,20012,类型属于,类型属于
10693,20007,类型属于,类型属于
12969,20015,类型属于,类型属于
10041,20019,类型属于,类型属于
11193,20012,类型属于,类型属于
11111,20001,类型属于,类型属于
10498,20001,类型属于,类型属于
10720,20005,类型属于,类型属于
11222,20001,类型属于,类型属于
10149,20013,类型属于,类型属于
12896,20009,类型属于,类型属于
10613,20001,类型属于,类型属于
12905,20019,类型属于,类型属于
11560,20013,类型属于,类型属于
10182,20003,类型属于,类型属于
10598,20001,类型属于,类型属于
11772,20006,类型属于,类型属于
11465,20003,类型属于,类型属于
11201,20006,类型属于,类型属于
10989,20001,类型属于,类型属于
10929,20029,类型属于,类型属于
11843,20013,类型属于,类型属于
12146,20019,类型属于,类型属于
10610,20001,类型属于,类型属于
12972,20003,类型属于,类型属于
12635,20010,类型属于,类型属于
10272,20015,类型属于,类型属于
12490,20006,类型属于,类型属于
12187,20012,类型属于,类型属于
12229,20001,类型属于,类型属于
11079,20002,类型属于,类型属于
12818,20012,类型属于,类型属于
10046,20012,类型属于,类型属于
11953,20017,类型属于,类型属于
10342,20003,类型属于,类型属于
10881,20001,类型属于,类型属于
10412,20005,类型属于,类型属于
11021,20016,类型属于,类型属于
10133,20016,类型属于,类型属于
11537,20001,类型属于,类型属于
12595,20003,类型属于,类型属于
10497,20010,类型属于,类型属于
10069,20007,类型属于,类型属于
11242,20017,类型属于,类型属于
10291,20004,类型属于,类型属于
11872,20007,类型属于,类型属于
10532,20007,类型属于,类型属于
11965,20019,类型属于,类型属于
12183,20014,类型属于,类型属于
12792,20001,类型属于,类型属于
10731,20016,类型属于,类型属于
11374,20022,类型属于,类型属于
10059,20007,类型属于,类型属于
10941,20001,类型属于,类型属于
11363,20001,类型属于,类型属于
11810,20001,类型属于,类型属于
10857,20028,类型属于,类型属于
12282,20006,类型属于,类型属于
10109,20003,类型属于,类型属于
11033,20013,类型属于,类型属于
10890,20001,类型属于,类型属于
10719,20030,类型属于,类型属于
11551,20002,类型属于,类型属于
12969,20007,类型属于,类型属于
12731,20003,类型属于,类型属于
12010,20003,类型属于,类型属于
12218,20026,类型属于,类型属于
10255,20002,类型属于,类型属于
10571,20005,类型属于,类型属于
10944,20019,类型属于,类型属于
11423,20026,类型属于,类型属于
11687,20023,类型属于,类型属于
11297,20017,类型属于,类型属于
11963,20007,类型属于,类型属于
11137,20026,类型属于,类型属于
11651,20012,类型属于,类型属于
10413,20006,类型属于,类型属于
11973,20002,类型属于,类型属于
10850,20019,类型属于,类型属于
10933,20019,类型属于,类型属于
12168,20003,类型属于,类型属于
12224,20003,类型属于,类型属于
11474,20029,类型属于,类型属于
10052,20032,类型属于,类型属于
11831,20031,类型属于,类型属于
12319,20027,类型属于,类型属于
11157,20003,类型属于,类型属于
10750,20017,类型属于,类型属于
11939,20014,类型属于,类型属于
10001,20012,类型属于,类型属于
11829,20010,类型属于,类型属于
11596,20013,类型属于,类型属于
10920,20001,类型属于,类型属于
10777,20018,类型属于,类型属于
11655,20013,类型属于,类型属于
11092,20001,类型属于,类型属于
10382,20001,类型属于,类型属于
11495,20019,类型属于,类型属于
11373,20013,类型属于,类型属于
11984,20029,类型属于,类型属于
11180,20017,类型属于,类型属于
11584,20013,类型属于,类型属于
10618,20017,类型属于,类型属于
10492,20026,类型属于,类型属于
12013,20005,类型属于,类型属于
10245,20019,类型属于,类型属于
11840,20013,类型属于,类型属于
11630,20012,类型属于,类型属于
11086,20013,类型属于,类型属于
12207,20006,类型属于,类型属于
12576,20013,类型属于,类型属于
11737,20015,类型属于,类型属于
11199,20035,类型属于,类型属于
11058,20007,类型属于,类型属于
10428,20006,类型属于,类型属于
10114,20001,类型属于,类型属于
11503,20007,类型属于,类型属于
11888,20012,类型属于,类型属于
12930,20030,类型属于,类型属于
11255,20007,类型属于,类型属于
10367,20001,类型属于,类型属于
