index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10001,857,好想告诉你 第一季,559.5万,45.3万,55.7万,2009年10月6日,9.6,892人评,已完结,Anime
10002,1558,长门有希酱的消失,597.7万,17.6万,28.9万,2015年4月3日,9,452人评,已完结,Anime
10003,1089,钢之炼金术师 FULLMETAL ALCHEMIST,1220.9万,85.8万,42.4万,2009年4月5日,9.8,21407人评,已完结,Anime
10004,6319,18if 梦境异闻录,236.8万,23.3万,8.5万,2017年7月7日,8.5,717人评,已完结,Anime
10005,1097,空罐少女,87.7万,11.2万,4.4万,2009年1月3日,8.8,189人评,已完结,Anime
10006,5063,DAYS,642.5万,18.6万,22万,2016年7月3日,8.1,189人评,已完结,Anime
10007,102232,Free!-Dive to the Future-,688.2万,65.5万,21.8万,2018年7月11日,9.6,3305人评,已完结,Anime
10008,77552,Caligula 卡里古拉,1022.1万,69.1万,17.4万,2018年4月8日,8.8,6290人评,已完结,Anime
10009,139412,叛逆性百万亚瑟王,-,21.8万,-,2018年10月25日,0,0,连载中,Anime
10010,139252,关于我转生变成史莱姆这档事,527.7万,161.1万,13万,2018年10月2日,9.8,8627人评,连载中,Anime
10011,1577,希德尼娅的骑士 第二季,535.8万,13.1万,13.6万,2015年4月10日,9.7,829人评,已完结,Anime
10012,102772,百炼霸王与圣约女武神,1669.8万,80.2万,29.7万,2018年7月8日,6.1,8304人评,已完结,Anime
10013,3151,异邦人 无皇刃谭,76.7万,14.1万,1.8万,2007年9月29日,9.6,980人评,已完结,Anime
10014,119152,夏日大作战,61.9万,12万,3.8万,2009年8月1日,9.7,2407人评,已完结,Anime
10015,5053,Ange Vierge,364.3万,32.3万,13.6万,2016年7月10日,7.7,169人评,已完结,Anime
10016,981,大神与七位伙伴,174.9万,22.3万,9.5万,2010年7月1日,9.4,676人评,已完结,Anime
10017,102392,工作细胞,1.3亿,583万,340.2万,2018年7月8日,9.7,46748人评,已完结,Anime
10018,3465,Concrete Revolutio 超人幻想 第二季,220万,13.6万,6.5万,2016年4月4日,9.5,480人评,已完结,Anime
10019,2546,言叶之庭,740.3万,90万,35.2万,2013年5月31日,9.6,3307人评,已完结,Anime
10020,1732,幻想嘉年华,814.9万,50.9万,41.3万,2011年8月14日,9.6,2967人评,已完结,Anime
10021,6011,暗芝居·世界黑暗图鉴,521.2万,25.1万,10.6万,2017年4月2日,6.2,174人评,已完结,Anime
10022,139312,我家女仆有够烦！,263.4万,79.9万,6.9万,2018年10月5日,9.7,2844人评,连载中,Anime
10023,11912,爱吃拉面的小泉同学,1458万,96.9万,43.3万,2018年1月4日,9.2,5529人评,已完结,Anime
10024,6295,蜡笔小新 第六季（中文）,1033.4万,17.3万,27万,2012年3月9日,9.7,1211人评,已完结,Anime
10025,991,守护猫娘绯鞠,330.1万,34万,18.1万,2010年1月6日,8.9,527人评,已完结,Anime
10026,5982,正确的KADO,250万,15.7万,10.7万,2017年4月7日,3.4,1534人评,已完结,Anime
10027,323,大图书馆的牧羊人,622.8万,26.2万,30.5万,2014年10月8日,9,457人评,已完结,Anime
10028,6312,徒然喜欢你,5050.9万,267.4万,172万,2017年7月4日,9.6,12591人评,已完结,Anime
10029,1247,我家有个狐仙大人,187.6万,20.5万,6.6万,2008年4月6日,9.5,267人评,已完结,Anime
10030,102672,刃牙,1431.9万,35.5万,10.6万,2018年7月2日,8.6,1906人评,连载中,Anime
10031,6438,魔法使的新娘（僅限台灣地區）,78.2万,19.3万,2.2万,2017年10月8日,9.5,2733人评,已完结,Anime
10032,78512,宅男腐女恋爱真难,3263万,174.3万,73.2万,2018年4月13日,9.6,17106人评,已完结,Anime
10033,139272,只要贝尔哲布布大小姐喜欢就好,69.3万,42万,1.1万,2018年10月11日,9.4,842人评,连载中,Anime
10034,78352,超能力女儿,4906.9万,204.9万,71.5万,2018年4月6日,9.6,25159人评,已完结,Anime
10035,2843,Fate/stay night [Unlimited Blade Works] 特典,440.9万,71.8万,9.7万,2015年10月7日,9.1,1128人评,已完结,Anime
10036,3341,青之文学,122.6万,19.9万,3.7万,2009年10月10日,9.4,385人评,已完结,Anime
10037,698,这个是僵尸吗？OF THE DEAD,1311.6万,29.3万,53.1万,2012年4月4日,9.6,1069人评,已完结,Anime
10038,5993,雏子的笔记,674.7万,60.5万,32.9万,2017年4月7日,8.7,790人评,已完结,Anime
10039,1552,可塑性记忆,2872.4万,138.7万,148.8万,2015年4月4日,9.6,5318人评,已完结,Anime
10040,5037,红伤骑士X,189.1万,17.9万,5.7万,2016年7月6日,0,0,已完结,Anime
10041,77812,Comic Girl,652万,43万,18.7万,2018年4月5日,9.7,5015人评,已完结,Anime
10042,6445,3月的狮子 第二季,661.2万,36.7万,17.3万,2017年10月15日,9.8,10599人评,已完结,Anime
10043,7792,宣告黎明的露之歌,43.2万,11万,2.4万,2017年5月19日,9.4,1860人评,已完结,Anime
10044,7452,我的英雄学院 第一季,2291.5万,128.8万,65.2万,2016年4月3日,9.7,17375人评,已完结,Anime
10045,5021,亚尔斯兰战记 风尘乱舞,411.7万,31.1万,15.3万,2016年7月4日,9,293人评,已完结,Anime
10046,3317,蜂蜜与四叶草,164.5万,21.2万,4.1万,2005年4月14日,9.7,691人评,已完结,Anime
10047,761,薄樱鬼,170.4万,22.9万,11.3万,2010年4月3日,9.2,213人评,已完结,Anime
10048,6414,UQ HOLDER！悠久持有者 OAD,210.5万,16.3万,1.9万,2017年9月8日,9,366人评,已完结,Anime
10049,2714,有你的小镇,130万,14.6万,7.3万,2013年7月13日,8.1,333人评,已完结,Anime
10050,5802,CHAOS;CHILD,584.8万,38.2万,12万,2017年1月12日,7.7,855人评,已完结,Anime
10051,814,在盛夏等待,3.8万,24.3万,1474,2012年1月9日,9.2,438人评,已完结,Anime
10052,1197,红 Kurenai,105.7万,12.2万,3.3万,2008年4月3日,8.1,185人评,已完结,Anime
10053,10332,EVA 新世纪福音战士新剧场版1.0：序,111.9万,11.7万,3万,2007年9月1日,9.7,605人评,已完结,Anime
10054,3107,赤发白雪姬 第二季,712.5万,28.6万,37.1万,2016年1月11日,9.5,630人评,已完结,Anime
